|Jornal|Assunto|Data|Tweet_ID|Tweet|Polaridade|Linguagem
0|estadao|lgbtq|11-8-20|1293321892288499712|NOSSA, COMO É SOFRIDX|Negativa|Não-ofensiva
1|estadao|lgbtq|11-8-20|1293323891583193088|Força, guerreirx.|Positiva|Não-ofensiva
2|estadao|lgbtq|11-8-20|1293364295221366784|Vão tomar nos seus cus|Negativa|Ofensiva
3|estadao|lgbtq|11-8-20|1293373286164959247|Já segurei demais em vários locais quando não podia entrar com minha bebê. São poucos os lugares que tem banheiro familiar.|Neutra|Não-ofensiva
4|estadao|lgbtq|11-8-20|1293439034681950208|A próstata ajuda nessas hrs...|Neutra|Ofensiva
5|estadao|lgbtq|11-8-20|1293269018061746177|PQP, assino esse jornal pra isso? Não é possivel!|Negativa|Não-ofensiva
6|estadao|lgbtq|11-8-20|1293372854193487875|So eu topasse com esse cara aí, deixaria ele de boa no banheiro: a gente tem de respeitar o espaço dos vevecos! Os caras são massa! Exceto quando saem dando piti.|Positiva|Ofensiva
7|estadao|lgbtq|11-8-20|1293330780438044673|Tudo que eu quero é um homem mijando ao lado da minha filha mesmo.|Neutra|Ofensiva
8|estadao|lgbtq|11-8-20|1293270331109658625|Tb segurei pq os banheiros químicos são um lixo|Negativa|Não-ofensiva
9|estadao|lgbtq|11-8-20|1293275108178526208|Oh, que notícia! Não sei o que seria da minha semana, se não soubesse! Isso, sim, é bom jornalismo|Positiva|Não-ofensiva
10|estadao|lgbtq|11-8-20|1293325139233386496|Tatuou até uma coroa de espinhos de tão sofrido que é o calvário de segurar o xixi hauha|Negativa|Não-ofensiva
11|estadao|lgbtq|11-8-20|1293602233658093570|É só mijar na rua, igual todo homem faz.|Neutra|Ofensiva
12|estadao|lgbtq|11-8-20|1293333755252420610|Mimimi|Negativa|Não-ofensiva
13|estadao|lgbtq|11-8-20|1293335628126527490|Era só encostar ao de um arbustos e se aliviar, a natureza foi boa com a gente, e a ciência reafirma isso 😆|Neutra|Não-ofensiva
14|estadao|lgbtq|11-8-20|1293270465025318913|Tem piu piu, é homem. Respeite a ciência.|Neutra|Ofensiva
15|estadao|lgbtq|11-8-20|1293274058981859329|Homem é homem e mulher é mulher. To errado? Entao me refute.|Neutra|Ofensiva
16|estadao|lgbtq|11-8-20|1293269690807197703|Ahhh pronto, vitimização pra enfiar macho no banheiro feminino!|Negativa|Ofensiva
17|estadao|lgbtq|11-8-20|1293272039868989442|Acho que ela quis falar dos dois tipos de banheiros|Neutra|Não-ofensiva
18|estadao|lgbtq|11-8-20|1293269047623196673|A entrevista foi maravilhosa, inteligentíssima!|Positiva|Não-ofensiva
19|estadao|lgbtq|11-8-20|1293279431713267719|Que mundo mais racista né! Onde já se viu um bengaludo ter que segurar o xixi, pq ñ pode entrar em banheiro feminino. Inaceitável!|Negativa|Ofensiva
20|estadao|lgbtq|11-8-20|1293269781135724545|Quem tem pênis urina no reservado masculino. Tivesse feito isto não estaria chorando.|Neutra|Ofensiva
21|estadao|lgbtq|11-8-20|1293325452954738688|Se tem pintinho vai no dos meninos|Neutra|Ofensiva
22|estadao|lgbtq|11-8-20|1293325848012087296|Quem tem pinto, mija em qualquer lugar.|Neutra|Ofensiva
23|estadao|lgbtq|11-8-20|1293355715587956736|O negão fez a tatuagem de presidio mais ridícula e ainda fez questão de fzr esta merda na testa.|Negativa|Ofensiva
24|estadao|lgbtq|11-8-20|1293416388611244033|Traveco entrando em banheiro de mulher??? Tão ficando retardados ?|Negativa|Ofensiva
25|estadao|lgbtq|11-8-20|1293533347168301062|Eu já segurei xixi em balada pq o banheiro estava cheio de gays mexendo com os demais q iriam utilizá-lo.|Neutra|Não-ofensiva
26|estadao|lgbtq|16-10-20|1328430902008033282|Tive a oportunidade de conhecer pessoalmente e achei sensacional. Temos poucos políticos com a lucidez, inteligência e carisma da Duda. Muito merecido!!|Positiva|Não-ofensiva
27|estadao|lgbtq|16-10-20|1328486148033929216|Eta! Que maravilha!!!|Positiva|Não-ofensiva
28|estadao|lgbtq|16-10-20|1328451644799987712|Parabéns pela escolha, BH! 👏🏻😍|Positiva|Não-ofensiva
29|estadao|lgbtq|16-10-20|1328479850802384904|Parabéns pra ela. Mas temo que logo não haverá lugar para mulher cis nos esportes, as trans são mais fortes e estão ganhando tudo. Miss agora é trans, e também na política. Não sei o que pensar.|Positiva|Não-ofensiva
30|estadao|lgbtq|16-10-20|1328579688260919306|Parabéns, Duda!! 😘|Positiva|Não-ofensiva
31|estadao|lgbtq|16-10-20|1328511277929541633|Ou seja, mais um homem eleito.|Neutra|Ofensiva
32|estadao|lgbtq|16-10-20|1328763094596718593|Parabéns para ELE|Neutra|Ofensiva
33|estadao|lgbtq|16-10-20|1328477084524679168|Mulher?|Neutra|Ofensiva
34|estadao|lgbtq|16-10-20|1328517705767522306|É ele.|Neutra|Ofensiva
35|estadao|lgbtq|16-10-20|1328448605947105290|Duda é sensacional. Adoro ela, muito inteligente, muito articulada... só amor!|Positiva|Não-ofensiva
36|estadao|lgbtq|16-10-20|1328463726274613248|Mulher? #estadaolixo|Negativa|Ofensiva
37|estadao|lgbtq|16-10-20|1328448862143582209|A Duda foi a primeira e ele fez justamente o contrário, segundo q eu n desrespeita ele em momento nenhum|Neutra|Não-ofensiva
38|estadao|lgbtq|16-10-20|1328438015644098561|É um homem de batom somente.|Neutra|Ofensiva
